data_ref,index,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,mau,renda
2015-01-01,8682,F,False,True,1,Assalariado,Secundário,Casado,Casa,36,3.5753424657534247,3.0,False,3369.24
2015-01-01,12830,M,True,True,0,Empresário,Secundário,Casado,Casa,42,0.8602739726027397,2.0,False,6096.14
2015-01-01,2885,M,True,True,2,Assalariado,Superior completo,Casado,Casa,31,8.065753424657535,4.0,False,5658.98
2015-01-01,16168,F,True,False,0,Empresário,Secundário,Casado,Casa,50,1.2082191780821918,2.0,False,7246.69
2015-01-01,12438,M,False,False,0,Assalariado,Secundário,Casado,Casa,52,13.873972602739729,2.0,False,4017.37
2015-01-01,7409,M,False,True,0,Assalariado,Superior incompleto,Casado,Casa,46,15.561643835616438,2.0,False,5483.58
2015-01-01,6913,F,False,True,0,Assalariado,Secundário,Casado,Casa,51,5.046575342465753,2.0,False,1947.99
2015-01-01,13047,M,True,True,0,Empresário,Secundário,Casado,Casa,24,1.5917808219178082,2.0,False,7781.51
2015-01-01,4529,F,False,False,0,Assalariado,Secundário,Casado,Casa,53,3.4301369863013704,2.0,False,5577.82
2015-01-01,14646,F,False,True,2,Servidor público,Secundário,União,Casa,34,7.219178082191781,4.0,False,803.34
2015-01-01,8550,F,False,True,0,Assalariado,Superior completo,Casado,Casa,35,5.638356164383563,2.0,False,3109.79
2015-01-01,1591,F,True,True,1,Empresário,Superior completo,Casado,Casa,31,4.479452054794519,3.0,False,2779.67
2015-01-01,5090,M,True,True,2,Pensionista,Primário,Casado,Casa,60,,4.0,False,5114.7
2015-01-01,3906,F,False,True,0,Servidor público,Secundário,União,Casa,50,16.528767123287672,2.0,False,4640.47
2015-01-01,13629,F,False,True,0,Assalariado,Secundário,Solteiro,Casa,46,7.934246575342466,1.0,False,1055.14
2015-01-01,5732,F,False,False,1,Servidor público,Secundário,Solteiro,Casa,42,5.542465753424659,2.0,False,1728.33
2015-01-01,535,F,True,True,1,Empresário,Secundário,Casado,Casa,41,5.358904109589041,3.0,False,1934.8
2015-01-01,10668,M,True,True,1,Assalariado,Superior completo,Separado,Casa,44,6.934246575342466,2.0,False,3939.28
2015-01-01,4323,M,True,True,0,Assalariado,Secundário,Casado,Casa,33,4.008219178082192,2.0,False,4787.86
2015-01-01,1860,M,True,True,0,Pensionista,Superior completo,Casado,Casa,64,,2.0,False,4501.53
2015-01-01,8850,F,True,True,0,Assalariado,Secundário,Solteiro,Casa,53,10.635616438356164,1.0,False,1772.14
2015-01-01,5257,F,True,True,0,Empresário,Superior completo,Casado,Casa,28,2.682191780821918,2.0,False,2053.45
2015-01-01,2450,M,False,True,1,Assalariado,Superior completo,Casado,Casa,37,14.95890410958904,3.0,False,44277.19
2015-01-01,14475,M,False,True,0,Empresário,Superior completo,Casado,Casa,55,1.5205479452054795,2.0,True,24664.37
2015-01-01,14944,M,True,True,0,Servidor público,Superior completo,Casado,Casa,27,1.7616438356164383,2.0,False,6165.13
2015-01-01,13606,F,False,True,0,Assalariado,Secundário,Casado,Casa,47,2.432876712328768,2.0,False,3104.42
2015-01-01,3453,F,False,True,1,Pensionista,Secundário,Casado,Casa,56,,3.0,False,2053.04
2015-01-01,2317,F,False,True,0,Pensionista,Secundário,Casado,Casa,65,,2.0,False,6714.39
2015-01-01,3639,F,True,False,1,Assalariado,Superior completo,Solteiro,Casa,30,3.4876712328767123,2.0,False,630.3
2015-01-01,5583,M,False,False,0,Assalariado,Secundário,Casado,Casa,50,19.967123287671228,2.0,False,3819.53
2015-01-01,13799,F,True,False,0,Pensionista,Primário,Casado,Casa,64,,2.0,False,1350.5
2015-01-01,2016,M,True,True,0,Assalariado,Secundário,Casado,Casa,34,7.178082191780822,2.0,False,2156.77
2015-01-01,13401,F,False,True,1,Assalariado,Secundário,Casado,Casa,29,0.3479452054794521,3.0,False,1105.6
2015-01-01,12912,M,True,False,0,Assalariado,Secundário,Solteiro,Com os pais,30,9.553424657534247,1.0,False,6505.75
2015-01-01,4115,F,False,True,0,Servidor público,Superior completo,Viúvo,Casa,53,18.389041095890416,1.0,False,7212.4
2015-01-01,8821,F,True,True,1,Empresário,Secundário,União,Casa,31,2.2109589041095887,3.0,False,3644.16
2015-01-01,1012,F,True,True,3,Assalariado,Superior completo,Casado,Casa,41,0.3342465753424657,5.0,False,1268.44
2015-01-01,4465,F,False,False,0,Empresário,Superior completo,Casado,Com os pais,40,12.849315068493151,2.0,False,10271.6
2015-01-01,9865,F,True,True,0,Empresário,Secundário,Casado,Casa,48,4.682191780821919,2.0,False,1128.43
2015-01-01,6320,M,True,False,2,Assalariado,Superior completo,Casado,Casa,32,1.991780821917808,4.0,False,2918.69
2015-01-01,11985,F,True,True,1,Assalariado,Superior completo,Casado,Casa,36,1.0767123287671232,3.0,False,2274.63
2015-01-01,5384,M,True,True,0,Servidor público,Superior completo,Solteiro,Casa,27,2.263013698630137,1.0,False,2662.93
2015-01-01,39,F,False,True,0,Empresário,Secundário,Solteiro,Aluguel,42,8.860273972602737,1.0,False,2018.26
2015-01-01,7029,F,False,True,0,Empresário,Secundário,Casado,Casa,53,4.7972602739726025,2.0,False,1577.59
2015-01-01,10194,F,False,True,0,Assalariado,Secundário,Casado,Casa,61,1.547945205479452,2.0,False,3100.05
2015-01-01,15306,F,False,False,0,Assalariado,Secundário,Solteiro,Casa,48,1.0328767123287672,1.0,False,3876.0
2015-01-01,14491,F,False,True,0,Pensionista,Secundário,Casado,Casa,61,,2.0,False,4055.24
2015-01-01,10511,M,False,True,0,Empresário,Secundário,Solteiro,Com os pais,28,3.512328767123288,1.0,False,10974.1
2015-01-01,1641,M,True,True,0,Assalariado,Secundário,Casado,Casa,50,5.06027397260274,2.0,False,7250.98
2015-01-01,3951,F,False,True,1,Servidor público,Secundário,Solteiro,Casa,43,10.93972602739726,2.0,False,3602.46
2015-01-01,11116,F,True,False,0,Assalariado,Secundário,Casado,Casa,35,3.7589041095890408,2.0,False,736.0
2015-01-01,8688,F,False,True,1,Assalariado,Superior completo,União,Casa,37,5.156164383561643,3.0,False,2832.19
2015-01-01,13557,F,False,False,7,Assalariado,Secundário,Casado,Casa,37,4.5178082191780815,9.0,False,816.33
2015-01-01,5926,F,False,False,0,Assalariado,Secundário,Solteiro,Casa,52,32.74246575342466,1.0,False,7771.51
2015-01-01,1327,M,True,False,1,Servidor público,Secundário,Casado,Casa,38,6.586301369863015,3.0,False,4871.0
2015-01-01,6349,F,False,False,0,Assalariado,Superior completo,Casado,Casa,36,7.249315068493152,2.0,False,1951.74
2015-01-01,4468,F,False,False,0,Empresário,Secundário,União,Casa,44,13.435616438356163,2.0,False,2200.44
2015-01-01,3575,F,True,True,1,Pensionista,Secundário,Casado,Casa,56,,3.0,False,4774.44
2015-01-01,10487,F,False,False,1,Servidor público,Secundário,Casado,Governamental,41,18.81095890410959,3.0,False,6760.49
2015-01-01,940,F,False,True,0,Pensionista,Superior incompleto,Viúvo,Casa,59,,1.0,False,3175.63
2015-01-01,2746,F,False,True,0,Assalariado,Secundário,Casado,Casa,43,8.312328767123287,2.0,False,2452.65
2015-01-01,213,M,False,False,0,Assalariado,Superior incompleto,Casado,Casa,38,6.273972602739726,2.0,False,5838.45
2015-01-01,12574,F,False,False,0,Assalariado,Secundário,Casado,Casa,51,25.54794520547945,2.0,False,19324.31
2015-01-01,5144,F,False,True,0,Assalariado,Secundário,União,Com os pais,39,0.3808219178082192,2.0,False,2757.73
2015-01-01,5630,F,True,False,1,Empresário,Superior completo,União,Com os pais,26,1.6219178082191783,3.0,False,751.6
2015-01-01,3523,M,True,False,0,Empresário,Superior completo,Casado,Casa,66,14.194520547945206,2.0,False,10498.24
2015-01-01,6039,F,True,True,0,Empresário,Secundário,Casado,Casa,49,6.890410958904107,2.0,False,881.86
2015-01-01,5117,F,True,True,0,Empresário,Secundário,Casado,Casa,30,5.216438356164384,2.0,False,1252.91
2015-01-01,5777,M,False,False,1,Assalariado,Secundário,Casado,Estúdio,42,7.298630136986303,3.0,False,1821.38
2015-01-01,14876,M,False,False,1,Empresário,Primário,Casado,Casa,29,6.802739726027397,3.0,False,2655.25
2015-01-01,12924,F,True,True,0,Pensionista,Secundário,Casado,Casa,64,,2.0,False,2742.43
2015-01-01,8020,F,True,True,0,Assalariado,Superior completo,Casado,Casa,58,1.5808219178082192,2.0,False,3001.75
2015-01-01,1068,F,False,False,0,Empresário,Secundário,Casado,Com os pais,46,2.249315068493151,2.0,False,867.17
2015-01-01,2066,M,False,True,0,Assalariado,Secundário,Casado,Casa,38,10.427397260273972,2.0,False,5373.72
2015-01-01,9787,F,False,True,0,Assalariado,Secundário,Casado,Aluguel,54,2.2602739726027403,2.0,False,1892.76
2015-01-01,5744,M,True,False,1,Assalariado,Secundário,Casado,Casa,35,5.2904109589041095,3.0,False,3021.56
2015-01-01,15563,F,False,True,2,Assalariado,Superior incompleto,Casado,Casa,29,5.958904109589041,4.0,False,1479.44
2015-01-01,1388,M,True,True,0,Assalariado,Secundário,Solteiro,Casa,38,14.591780821917803,1.0,False,3765.38
2015-01-01,13348,F,False,False,0,Pensionista,Secundário,Separado,Casa,61,,1.0,True,3922.21
2015-01-01,12462,M,True,False,0,Assalariado,Superior incompleto,Casado,Casa,32,2.4465753424657533,2.0,False,1719.8
2015-01-01,12024,M,True,True,1,Assalariado,Secundário,Casado,Casa,38,6.068493150684931,3.0,False,681.39
2015-01-01,4494,F,True,False,2,Servidor público,Superior completo,Casado,Casa,43,20.18904109589041,4.0,False,9033.51
2015-01-01,12961,F,False,True,0,Assalariado,Secundário,Casado,Casa,61,40.57534246575342,2.0,False,33568.12
2015-01-01,6753,F,True,True,0,Pensionista,Secundário,Casado,Casa,58,,2.0,False,1738.95
2015-01-01,16609,M,False,True,0,Assalariado,Superior completo,Solteiro,Casa,28,2.180821917808219,1.0,True,3252.86
2015-01-01,14914,M,True,False,0,Assalariado,Superior completo,União,Casa,32,8.471232876712326,2.0,False,4074.25
2015-01-01,15332,F,False,False,0,Empresário,Secundário,Casado,Casa,46,8.038356164383561,2.0,False,2403.49
2015-01-01,4220,F,False,True,0,Assalariado,Superior completo,Viúvo,Casa,63,5.846575342465752,1.0,False,3985.32
2015-01-01,10580,F,False,True,0,Assalariado,Superior completo,Casado,Casa,39,4.345205479452055,2.0,False,1902.91
2015-01-01,3038,M,True,True,0,Servidor público,Secundário,União,Casa,51,4.0547945205479445,2.0,False,1524.54
2015-01-01,160,F,False,False,0,Assalariado,Secundário,União,Casa,41,13.194520547945206,2.0,False,3420.8
